Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
P1;06/08/2017;Aves;Sp Lisbon;0;2;A;0;1;A;12;12;2;9;15;16;6;3;1;0;0;0
P1;06/08/2017;Setubal;Moreirense;1;1;D;1;0;H;6;12;2;4;18;22;4;8;1;3;1;0
P1;07/08/2017;Feirense;Tondela;1;1;D;0;1;A;12;13;5;6;19;25;5;3;4;1;0;0
P1;07/08/2017;Portimonense;Boavista;2;1;H;0;1;A;12;5;4;2;14;10;9;4;1;1;0;0
P1;07/08/2017;Rio Ave;Belenenses;1;0;H;1;0;H;11;10;5;3;17;23;4;8;2;2;0;0
P1;08/08/2017;Maritimo;Pacos Ferreira;1;0;H;0;0;D;7;4;3;1;13;14;0;7;2;2;0;0
P1;09/08/2017;Benfica;Sp Braga;3;1;H;2;1;H;15;6;9;1;13;18;6;2;2;3;0;0
P1;09/08/2017;Porto;Estoril;4;0;H;1;0;H;17;10;8;4;18;12;10;5;1;1;0;0
P1;10/08/2017;Guimaraes;Chaves;3;2;H;2;0;H;16;15;8;3;21;13;9;7;1;4;0;0
P1;11/08/2017;Sp Lisbon;Setubal;1;0;H;0;0;D;12;3;5;1;16;24;7;1;1;2;0;0
P1;12/08/2017;Belenenses;Maritimo;1;0;H;0;0;D;10;7;4;5;20;18;9;4;3;1;0;0
P1;12/08/2017;Boavista;Rio Ave;1;2;A;0;1;A;5;7;2;2;17;17;2;3;3;3;0;0
P1;12/08/2017;Moreirense;Feirense;0;0;D;0;0;D;11;6;0;4;18;23;8;4;1;2;0;0
P1;13/08/2017;Pacos Ferreira;Aves;2;2;D;0;2;A;16;7;5;3;17;20;2;3;1;3;0;0
P1;13/08/2017;Sp Braga;Portimonense;2;1;H;1;1;D;8;8;4;1;14;21;5;7;3;3;0;0
P1;13/08/2017;Tondela;Porto;0;1;A;0;1;A;5;15;2;6;22;10;2;6;3;2;0;0
P1;14/08/2017;Chaves;Benfica;0;1;A;0;0;D;9;21;4;9;12;15;5;13;1;2;0;0
P1;14/08/2017;Estoril;Guimaraes;3;0;H;1;0;H;18;11;5;1;16;13;4;7;2;3;1;2
P1;18/08/2017;Rio Ave;Portimonense;2;0;H;0;0;D;11;11;7;4;15;11;4;6;0;0;0;0
P1;19/08/2017;Benfica;Belenenses;5;0;H;3;0;H;20;7;14;4;22;11;6;2;0;1;0;0
P1;19/08/2017;Guimaraes;Sp Lisbon;0;5;A;0;3;A;8;13;3;10;18;20;5;3;3;2;0;0
P1;19/08/2017;Tondela;Estoril;2;3;A;0;2;A;14;8;7;4;23;18;6;1;3;2;0;0
P1;20/08/2017;Aves;Sp Braga;0;2;A;0;0;D;9;18;4;9;14;10;4;8;1;0;1;0
P1;20/08/2017;Maritimo;Boavista;1;0;H;0;0;D;10;9;2;1;20;10;2;6;0;1;0;0
P1;20/08/2017;Porto;Moreirense;3;0;H;2;0;H;27;6;11;2;12;9;13;3;0;2;0;0
P1;20/08/2017;Setubal;Chaves;1;1;D;0;0;D;19;5;9;2;16;16;8;1;1;4;0;1
P1;21/08/2017;Feirense;Pacos Ferreira;2;1;H;1;1;D;12;12;7;3;20;18;5;5;2;2;0;0
P1;25/08/2017;Belenenses;Setubal;1;1;D;1;0;H;12;12;5;4;24;16;6;6;3;2;1;0
P1;26/08/2017;Chaves;Feirense;0;2;A;0;1;A;17;7;5;5;12;14;13;3;1;4;0;0
P1;26/08/2017;Moreirense;Tondela;0;3;A;0;1;A;11;12;3;6;11;21;8;5;3;1;1;0
P1;26/08/2017;Pacos Ferreira;Guimaraes;0;0;D;0;0;D;7;14;4;2;14;20;4;7;3;4;1;0
P1;26/08/2017;Rio Ave;Benfica;1;1;D;0;0;D;9;10;3;4;16;26;4;5;4;2;0;0
P1;27/08/2017;Boavista;Aves;1;0;H;0;0;D;12;14;3;4;26;12;2;2;2;1;0;1
P1;27/08/2017;Sp Braga;Porto;0;1;A;0;1;A;14;21;0;7;21;10;5;7;3;4;0;0
P1;27/08/2017;Sp Lisbon;Estoril;2;1;H;2;0;H;13;8;4;3;18;24;7;3;4;5;0;0
P1;28/08/2017;Portimonense;Maritimo;1;2;A;0;0;D;13;7;3;3;11;15;4;5;1;3;0;0
P1;08/09/2017;Benfica;Portimonense;2;1;H;0;0;D;15;5;8;2;11;16;5;3;0;4;0;1
P1;08/09/2017;Feirense;Sp Lisbon;2;3;A;0;0;D;10;13;7;10;13;16;5;10;3;1;0;0
P1;09/09/2017;Maritimo;Rio Ave;1;0;H;0;0;D;9;4;4;1;16;21;8;3;0;3;0;1
P1;09/09/2017;Porto;Chaves;3;0;H;0;0;D;14;8;7;3;16;14;8;2;1;3;0;0
P1;09/09/2017;Tondela;Pacos Ferreira;2;2;D;1;0;H;12;10;8;7;0;0;10;4;1;4;0;0
P1;10/09/2017;Estoril;Moreirense;0;2;A;0;1;A;13;6;8;4;0;0;7;4;2;3;0;0
